id_food,name,category,calories,proteins,carbohydrates,fats,fiber,sodium,sugar,source_file,ingested_at
1,cream cheese,,51.0,0.9,0.8,5.0,,0.016,,food_data_group1.csv,2026-02-17 11:14:15.427956
2,neufchatel cheese,,215.0,7.8,3.1,19.4,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
3,requeijao cremoso light catupiry,,49.0,0.8,0.9,3.6,,0.0,,food_data_group1.csv,2026-02-17 11:14:15.427956
4,ricotta cheese,,30.0,1.5,1.5,2.0,,0.017,,food_data_group1.csv,2026-02-17 11:14:15.427956
5,cream cheese low fat,,30.0,1.2,1.2,2.3,,0.046,,food_data_group1.csv,2026-02-17 11:14:15.427956
6,cream cheese fat free,,19.0,2.8,1.4,0.2,,0.1,,food_data_group1.csv,2026-02-17 11:14:15.427956
7,gruyere cheese,,116.0,8.3,0.1,9.1,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
8,cheddar cheese,,113.0,6.4,0.9,9.3,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
9,parmesan cheese,,71.0,6.4,0.6,4.5,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
10,romano cheese,,19.0,1.6,0.2,1.3,,0.008,,food_data_group1.csv,2026-02-17 11:14:15.427956
11,parmesan cheese grated,,21.0,1.4,0.7,1.4,,0.043,,food_data_group1.csv,2026-02-17 11:14:15.427956
12,port salut cheese,,465.0,31.4,0.8,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
13,swiss cheese,,98.0,6.7,0.4,7.7,,0.057,,food_data_group1.csv,2026-02-17 11:14:15.427956
14,goat cheese hard,,128.0,8.6,0.6,10.1,,0.076,,food_data_group1.csv,2026-02-17 11:14:15.427956
15,gouda cheese,,100.0,7.0,0.6,7.7,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
16,pepper jack cheese lucerne,,75.0,5.0,0.0,6.0,,0.0,,food_data_group1.csv,2026-02-17 11:14:15.427956
17,caraway cheese,,106.0,7.1,0.9,8.3,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
18,gjetost cheese,,578.25,21.9,61.875,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
19,tilsit cheese,,136.0,9.8,0.8,10.4,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
20,goat cheese,,103.0,6.1,0.009,8.4,,0.1,,food_data_group1.csv,2026-02-17 11:14:15.427956
21,brick cheese,,111.0,7.0,0.8,8.9,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
22,asadero cheese,,402.0,25.5,3.2,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
23,camembert cheese,,90.0,5.9,0.1,7.3,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
24,provolone cheese reduced fat,,310.0,27.9,4.0,19.9,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
25,roquefort cheese,,314.0,18.3,1.7,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
26,queso blanco cheese,,366.0,24.0,3.0,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
27,queso seco cheese,,315.0,23.8,2.0,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
28,goat cheese soft,,75.0,5.2,0.0,6.0,,0.1,,food_data_group1.csv,2026-02-17 11:14:15.427956
29,mozzarella cheese,,90.0,6.7,0.7,6.6,,0.1,,food_data_group1.csv,2026-02-17 11:14:15.427956
30,chihuahua cheese,,494.0,28.5,7.3,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
31,limburger cheese,,98.0,6.0,0.1,8.2,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
32,muenster cheese,,486.0,30.9,1.5,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
33,queso fresco cheese,,365.0,22.1,3.6,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
34,brie cheese,,100.0,6.2,0.1,8.3,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
35,pimento cheese,,525.0,31.0,2.4,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
36,mexican cheese,,316.0,27.7,3.8,21.7,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
37,feta cheese,,80.0,4.3,1.2,6.4,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
38,mozzarella cheese fat free,,159.0,32.05,4.0,0.0,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
39,provolone cheese,,463.0,32.05,2.8,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
40,anejo cheese,,492.0,28.3,6.1,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
41,honey,,64.0,0.08,17.3,0.0,,0.011,,food_data_group1.csv,2026-02-17 11:14:15.427956
42,apple butter,,35.0,0.045,8.5,0.063,,0.003,,food_data_group1.csv,2026-02-17 11:14:15.427956
43,fruit jam,,56.0,0.0,13.8,0.095,,0.052,,food_data_group1.csv,2026-02-17 11:14:15.427956
44,chocolate hazelnut spread,,100.0,1.0,11.5,5.5,,0.099,,food_data_group1.csv,2026-02-17 11:14:15.427956
45,peanut butter,,88.0,3.3,3.6,7.4,,0.085,,food_data_group1.csv,2026-02-17 11:14:15.427956
46,peanut spread,,101.0,3.8,2.2,8.5,,0.028,,food_data_group1.csv,2026-02-17 11:14:15.427956
47,chicken spread,,88.0,10.1,2.3,9.8,,0.4,,food_data_group1.csv,2026-02-17 11:14:15.427956
48,cheese spread,,578.25,17.0,8.4,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
49,tahini,,86.0,2.7,3.9,7.2,,0.098,,food_data_group1.csv,2026-02-17 11:14:15.427956
50,orange marmalade,,49.0,0.014,13.3,0.0,,0.016,,food_data_group1.csv,2026-02-17 11:14:15.427956
51,american cheese spread,,46.0,2.6,1.4,3.4,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
52,apricot jam,,48.0,0.1,12.9,0.01,,0.004,,food_data_group1.csv,2026-02-17 11:14:15.427956
53,chunky peanut butter,,94.0,3.8,3.5,8.0,,0.03,,food_data_group1.csv,2026-02-17 11:14:15.427956
54,ham and cheese spread,,37.0,2.4,0.3,2.8,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
55,chicken and rice casserole homade,,27.0,2.0,2.4,1.0,,0.0,,food_data_group1.csv,2026-02-17 11:14:15.427956
56,picnic loaf,,65.0,4.2,1.3,4.7,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
57,corn tamale,,309.0,5.8,44.3,12.0,,0.5,,food_data_group1.csv,2026-02-17 11:14:15.427956
58,baked potato with cheese sauce bacon,,451.0,18.4,44.4,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
59,chinese egg roll,,223.0,7.4,24.3,10.6,,0.4,,food_data_group1.csv,2026-02-17 11:14:15.427956
60,butter croissant,,231.0,4.7,26.1,12.0,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
61,enchilada with cheese beef,,323.0,11.9,30.5,17.6,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
62,corned beef hash with potatoes,,387.0,20.6,21.9,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
63,biscuit with egg cheese bacon,,436.0,17.4,35.4,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
64,bagel with ham egg cheese,,483.0,26.7,52.4,18.5,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
65,quesadilla with chicken,,529.0,27.1,43.3,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
66,corn rice,,110.0,1.8,25.2,0.3,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
67,kung pao chicken,,578.25,32.05,41.5,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
68,beef empanada,,298.0,10.1,27.8,16.3,,0.4,,food_data_group1.csv,2026-02-17 11:14:15.427956
69,frijoles with cheese,,225.0,11.4,28.7,7.8,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
70,burrito with beef,,285.0,9.1,43.9,8.1,,0.5,,food_data_group1.csv,2026-02-17 11:14:15.427956
71,crispy chicken sandwich,,350.0,14.8,33.2,17.6,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
72,enchilada with cheese,,374.0,15.4,21.2,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
73,pork egg roll,,189.0,8.4,25.1,6.1,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
74,corn on the cob with butter,,155.0,4.5,31.9,3.4,,0.056,,food_data_group1.csv,2026-02-17 11:14:15.427956
75,pancakes with butter syrup,,260.0,4.1,45.4,7.0,,0.6,,food_data_group1.csv,2026-02-17 11:14:15.427956
76,burrito with beans,,224.0,7.0,35.7,6.7,,0.5,,food_data_group1.csv,2026-02-17 11:14:15.427956
77,scrambled eggs,,100.0,6.5,1.0,7.6,,0.1,,food_data_group1.csv,2026-02-17 11:14:15.427956
78,baked potato with sour cream,,393.0,6.7,50.0,22.3,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
79,turkey and gravy,,161.0,14.1,11.1,6.3,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
80,chicken egg roll,,158.0,8.4,22.8,3.6,,0.4,,food_data_group1.csv,2026-02-17 11:14:15.427956
81,vegetable egg roll,,153.0,5.2,25.0,3.6,,0.4,,food_data_group1.csv,2026-02-17 11:14:15.427956
82,ham cheese roll,,67.0,3.8,1.1,5.2,,0.3,,food_data_group1.csv,2026-02-17 11:14:15.427956
83,biscuit with ham,,386.0,13.4,43.8,18.4,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
84,lemon chicken,,578.25,32.05,61.875,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
85,hummus,,435.0,12.0,49.5,21.1,,0.6,,food_data_group1.csv,2026-02-17 11:14:15.427956
86,croissant with egg cheese,,368.0,12.8,24.3,23.049999999999997,,0.6,,food_data_group1.csv,2026-02-17 11:14:15.427956
87,enchirito with cheese beef beans,,344.0,17.9,33.8,16.1,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
88,sweet sour pork,,38.0,1.2,3.3,2.2,,0.003,,food_data_group1.csv,2026-02-17 11:14:15.427956
89,crab cake,,160.0,11.3,5.1,10.4,,0.5,,food_data_group1.csv,2026-02-17 11:14:15.427956
90,egg dinner roll,,107.0,3.3,18.2,2.2,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
91,english muffin with egg cheese sausage,,472.0,22.1,28.8,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
92,buttermilk pancakes,,86.0,2.6,10.9,3.5,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
93,omelet,,94.0,6.4,0.4,7.1,,0.013,,food_data_group1.csv,2026-02-17 11:14:15.427956
94,taco with chicken cheese lettuce,,185.0,13.0,19.3,6.2,,0.6,,food_data_group1.csv,2026-02-17 11:14:15.427956
95,spinach souffle,,230.0,10.7,8.0,17.6,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
96,english muffin with cheese sausage,,365.0,14.3,27.3,22.3,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
97,potato gratin,,328.0,12.4,27.6,18.6,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
98,biscuit with egg,,436.0,17.4,35.4,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
99,french fries deep fried,,222.0,2.4,29.4,10.5,,0.1,,food_data_group1.csv,2026-02-17 11:14:15.427956
100,sweet sour chicken,,46.0,1.8,4.4,2.3,,0.043,,food_data_group1.csv,2026-02-17 11:14:15.427956
101,burrito with beans beef,,460.0,27.8,47.0,18.0,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
102,nachos with cinnamon sugar,,578.25,7.2,61.875,23.049999999999997,,0.4,,food_data_group1.csv,2026-02-17 11:14:15.427956
103,arroz con grandules,,209.0,4.0,35.4,5.7,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
104,chili con carne,,271.0,14.7,33.1,8.8,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
105,arroz con abichuelas,,223.0,6.2,37.3,5.4,,0.6,,food_data_group1.csv,2026-02-17 11:14:15.427956
106,biscuit with sausage,,412.0,10.7,33.3,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
107,vegetarian stew,,304.0,32.05,17.3,7.4,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
108,chicken sandwich with cheese,,578.25,29.4,41.6,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
109,biscuit with egg steak,,410.0,17.9,21.3,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
110,taco salad,,212.0,10.0,17.9,11.2,,0.6,,food_data_group1.csv,2026-02-17 11:14:15.427956
111,succotash,,213.0,9.7,46.8,1.5,,0.5,,food_data_group1.csv,2026-02-17 11:14:15.427956
112,nachos with cheese jalapeno peppers,,578.25,16.8,60.1,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
113,biscuit with egg ham,,442.0,20.4,31.4,23.049999999999997,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
114,ladyfingers,,103.0,3.0,16.9,2.6,,0.016,,food_data_group1.csv,2026-02-17 11:14:15.427956
115,mozzarella steak fried,,102.0,4.6,7.7,5.9,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
116,tamale navajo,,285.0,11.7,33.7,11.4,,0.696,,food_data_group1.csv,2026-02-17 11:14:15.427956
117,blueberry pancakes,,84.0,2.3,11.0,3.5,,0.2,,food_data_group1.csv,2026-02-17 11:14:15.427956
