id_member,age,gender,height,weight,bmi,fat_percentage,source_file,ingested_at
1,18,Female,1.51,61.0,12.32,21.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
2,18,Female,1.51,64.0,14.98,26.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
3,18,Female,1.53,50.7,21.66,33.0,members_tracking.csv,2026-02-17 11:14:26.755230
4,18,Female,1.53,64.8,27.68,18.6,members_tracking.csv,2026-02-17 11:14:26.755230
5,18,Female,1.53,73.6,14.92,25.2,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
6,18,Female,1.54,71.9,29.64,16.8,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
7,18,Female,1.54,72.2,30.44,27.1,members_tracking.csv,2026-02-17 11:14:26.755230
8,18,Female,1.54,82.9,49.84,27.8,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
9,18,Female,1.55,65.3,27.18,28.5,members_tracking.csv,2026-02-17 11:14:26.755230
10,18,Female,1.55,72.7,30.26,29.8,members_tracking.csv,2026-02-17 11:14:26.755230
11,18,Female,1.55,77.7,12.32,14.8,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
12,18,Female,1.56,40.0,12.98,27.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
13,18,Female,1.56,42.6,12.46,27.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
14,18,Female,1.57,66.9,27.14,30.7,members_tracking.csv,2026-02-17 11:14:26.755230
15,18,Female,1.58,61.9,18.23,25.2,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
16,18,Female,1.59,62.0,24.52,33.2,members_tracking.csv,2026-02-17 11:14:26.755230
17,18,Female,1.59,63.9,25.28,16.4,members_tracking.csv,2026-02-17 11:14:26.755230
18,18,Female,1.59,83.3,31.83,25.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
19,18,Female,1.6,67.4,26.33,33.5,members_tracking.csv,2026-02-17 11:14:26.755230
20,18,Female,1.6,68.7,33.26,23.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
21,18,Female,1.61,57.1,19.32,31.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
22,18,Female,1.61,58.1,22.41,15.3,members_tracking.csv,2026-02-17 11:14:26.755230
23,18,Female,1.62,66.8,22.63,30.2,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
24,18,Female,1.64,44.2,18.36,16.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
25,18,Female,1.64,76.1,33.24,34.8,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
26,18,Female,1.66,40.0,22.99,27.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
27,18,Female,1.66,68.1,25.77,27.2,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
28,18,Female,1.66,69.0,18.23,25.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
29,18,Female,1.66,89.8,16.69,28.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
30,18,Female,1.66,90.8,22.03,10.0,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
31,18,Female,1.67,83.5,33.8,12.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
32,18,Female,1.68,53.5,23.57,28.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
33,18,Female,1.68,54.2,15.66,14.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
34,18,Female,1.68,54.8,19.42,32.0,members_tracking.csv,2026-02-17 11:14:26.755230
35,18,Female,1.69,53.9,15.23,13.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
36,18,Female,1.69,65.5,12.32,24.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
37,18,Female,1.7,53.8,15.72,31.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
38,18,Female,1.7,75.9,24.94,30.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
39,18,Female,1.71,49.3,14.06,29.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
40,18,Female,1.71,67.1,24.9,27.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
41,18,Female,1.71,67.5,37.91,10.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
42,18,Female,1.71,74.6,18.68,28.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
43,18,Female,1.71,84.0,17.99,28.3,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
44,18,Female,1.71,93.3,24.01,22.3,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
45,18,Female,1.72,48.6,21.68,23.5,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
46,18,Female,1.72,49.0,17.26,24.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
47,18,Female,1.72,65.7,21.61,27.0,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
48,18,Female,1.73,47.8,14.48,23.9,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
49,18,Female,1.73,52.1,12.32,23.9,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
50,18,Female,1.73,53.9,15.92,10.0,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
51,18,Female,1.74,40.0,24.44,24.8,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
52,18,Female,1.74,42.0,19.62,26.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
53,18,Female,1.74,52.3,17.27,29.4,members_tracking.csv,2026-02-17 11:14:26.755230
54,18,Female,1.74,61.1,16.61,15.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
55,18,Female,1.75,40.0,17.62,14.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
56,18,Female,1.75,43.1,18.14,19.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
57,18,Female,1.75,45.3,26.5,28.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
58,18,Female,1.75,52.2,12.48,26.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
59,18,Female,1.75,57.2,18.68,33.5,members_tracking.csv,2026-02-17 11:14:26.755230
60,18,Female,1.75,66.9,21.84,26.8,members_tracking.csv,2026-02-17 11:14:26.755230
61,18,Female,1.75,79.6,12.32,25.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
62,18,Female,1.76,110.3,16.38,33.0,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
63,18,Female,1.76,129.9,13.89,25.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
64,18,Female,1.77,40.0,16.35,24.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
65,18,Female,1.77,44.9,20.39,12.3,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
66,18,Female,1.77,56.9,18.57,20.7,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
67,18,Female,1.78,69.9,12.32,19.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
68,18,Female,1.79,46.0,18.0,23.6,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
69,18,Female,1.79,60.9,19.01,31.1,members_tracking.csv,2026-02-17 11:14:26.755230
70,18,Female,1.79,72.5,19.58,27.3,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
71,18,Female,1.79,80.4,15.03,16.3,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
72,18,Female,1.79,81.9,12.32,28.5,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
73,18,Female,1.79,92.0,20.25,14.4,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
74,18,Female,1.8,40.0,14.93,24.1,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
75,18,Female,1.8,40.0,20.06,10.0,members_tracking_synthetic.csv,2026-02-17 11:14:26.755230
