id_workout,member_id,workout_type,session_duration,calories_burned,workout_frequency,experience_level,source_file,ingested_at
1,2472.0,Yoga,1.69,1313.0,4.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
2,1884.0,HIIT,1.3,883.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
3,1087.0,Cardio,1.11,677.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
4,661.0,Strength,0.59,532.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
5,1460.0,Strength,0.64,556.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
6,2447.0,HIIT,1.59,1116.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
7,1358.0,Cardio,1.49,1385.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
8,1523.0,Cardio,1.27,895.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
9,881.0,Strength,1.03,719.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
10,876.0,Cardio,1.08,808.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
11,1603.0,HIIT,0.82,593.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
12,2327.0,HIIT,1.15,865.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
13,2511.0,Cardio,1.24,1013.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
14,1626.0,HIIT,1.18,794.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
15,332.0,Yoga,1.35,1195.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
16,1490.0,Strength,1.13,740.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
17,233.0,HIIT,1.33,1111.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
18,1590.0,Cardio,1.19,884.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
19,1954.0,Strength,1.13,742.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
20,2413.0,HIIT,1.37,1030.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
21,273.0,Strength,1.5,1048.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
22,1457.0,Cardio,1.12,875.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
23,2131.0,Yoga,1.17,848.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
24,930.0,Yoga,0.78,721.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
25,1483.0,HIIT,1.25,925.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
26,1643.0,Yoga,1.42,1080.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
27,1802.0,HIIT,0.73,502.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
28,2591.0,Strength,1.48,989.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
29,1870.0,HIIT,1.64,1104.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
30,1141.0,HIIT,1.29,871.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
31,1111.0,HIIT,1.27,964.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
32,286.0,Yoga,1.03,654.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
33,2351.0,HIIT,1.48,1046.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
34,562.0,Cardio,1.04,816.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
35,1450.0,HIIT,1.52,1237.0,5.0,3.0,members_tracking.csv,2026-02-17 11:14:27.086636
36,735.0,Strength,1.32,1162.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
37,2443.0,Cardio,1.26,879.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
38,1305.0,Strength,1.34,1069.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
39,399.0,Strength,1.3,1072.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
40,1664.0,Strength,1.31,1057.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
41,1008.0,Cardio,1.48,969.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
42,686.0,Cardio,1.08,734.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
43,1750.0,Yoga,1.45,962.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
44,236.0,Cardio,1.14,730.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
45,1413.0,HIIT,1.5,1304.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
46,1869.0,Strength,1.2,956.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
47,604.0,Yoga,0.84,772.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
48,675.0,Cardio,1.41,1016.0,2.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
49,2248.0,Strength,1.23,836.0,3.0,1.0,members_tracking.csv,2026-02-17 11:14:27.086636
50,1011.0,Cardio,1.03,742.0,4.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
51,1210.0,Yoga,1.42,1122.0,3.0,2.0,members_tracking.csv,2026-02-17 11:14:27.086636
